    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 5008,       6170108,         6165112,          10497,     97201,       17865,        676,   12537528,      6165112,       27925,   107890,      57263,       481
 5009,       6170986,         6165989,           9486,     96606,       17956,        521,   12542536,      6165989,       30726,   107877,      57219,       484
 5010,       6173281,         6168283,          10000,     92536,       17974,        519,   12547545,      6168283,       30020,   107943,      57280,       660
 5011,       6175972,         6170973,           9509,     95660,       18071,        438,   12552555,      6170973,       31740,   107975,      57261,       523
 5012,       6177313,         6172313,          10907,     96322,       17916,        675,   12557566,      6172313,       30166,   107998,      57291,       436
 5013,       6179690,         6174689,           9710,     97591,       17993,        719,   12562578,      6174689,       31568,   108000,      57299,       507
 5014,       6180057,         6175055,          10040,     94461,       18070,        480,   12567591,      6175055,       30828,   108141,      57396,       535
 5015,       6182491,         6177488,           9305,     96854,       17810,        761,   12572605,      6177488,       31944,   108091,      57333,       583
 5016,       6184790,         6179786,          10830,     92858,       18206,        510,   12577620,      6179786,       37038,   108070,      57342,       531
 5017,       6188384,         6183379,           8973,    103296,       17887,        553,   12582636,      6183379,       30806,   108084,      57313,       491
 5018,       6189967,         6184961,           9094,     96296,       17925,        478,   12587653,      6184961,       31063,   108139,      57356,       639
 5019,       6192670,         6187663,           9316,     96214,       18017,        594,   12592671,      6187663,       25631,   108174,      57381,       661
 5020,       6196056,         6191048,           8722,    103538,       17849,        524,   12597690,      6191048,       25863,   108188,      57419,       427
 5021,       6199535,         6194526,           8779,     93489,       18190,        476,   12602710,      6194526,       23856,   108263,      57422,       429
 5022,       6199912,         6194902,           8664,     96607,       17924,        444,   12607731,      6194902,       25419,   108263,      57441,       455
 5023,       6201640,         6196629,           9007,     95459,       18135,        565,   12612753,      6196629,       27088,   108267,      57435,       455
 5024,       6202526,         6197514,          10467,     98857,       17922,        513,   12617776,      6197514,       32508,   108358,      57496,       514
 5025,       6206658,         6201645,           9937,     97583,       17829,        687,   12622800,      6201645,       34680,   108321,      57469,       525
 5026,       6211651,         6206637,          10927,    100905,       17986,        729,   12627825,      6206637,       36253,   108340,      57476,       684
 5027,       6211970,         6206955,          10143,     93469,       18072,        530,   12632851,      6206955,       36830,   108322,      57466,       471
 5028,       6216350,         6211334,           9842,     94234,       18203,        572,   12637878,      6211334,       29836,   108423,      57535,       478
 5029,       6216863,         6211846,           9073,     98559,       18093,        484,   12642906,      6211846,       27957,   108410,      57535,       467
 5030,       6221328,         6216310,           9792,     95187,       17986,        464,   12647935,      6216310,       33191,   108400,      57522,       488
 5031,       6226077,         6221058,          10278,     93817,       18156,        556,   12652965,      6221058,       32818,   108467,      57533,       518
 5032,       6230569,         6225549,          10215,     96485,       18045,        481,   12657996,      6225549,       27756,   108489,      57527,       490
