     n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
   474,         56104,           55639,            104,      5898,        1316,         43,     112101,        55639,         278,     6984,       3806,        42
   475,         56383,           55917,            101,      6324,        1328,         46,     112575,        55917,         294,     6989,       3814,        45
   476,         56842,           56375,             97,      6585,        1324,         46,     113050,        56375,         264,     7021,       3836,        40
   477,         56921,           56453,            106,      5975,        1355,         50,     113526,        56453,         293,     7041,       3846,        44
   478,         57016,           56547,            107,      6024,        1312,         46,     114003,        56547,         241,     7039,       3830,        34
   479,         57463,           56993,             84,      6014,        1349,         45,     114481,        56993,         274,     7067,       3860,        45
   480,         57687,           57216,            113,      5932,        1352,         49,     114960,        57216,         239,     7102,       3879,        51
   481,         57715,           57243,            111,      6206,        1352,         38,     115440,        57243,         261,     7107,       3874,        34
   482,         57719,           57246,             76,      6221,        1342,         37,     115921,        57246,         220,     7120,       3891,        34
   483,         57778,           57304,             76,      6267,        1368,         37,     116403,        57304,         222,     7142,       3909,        34
   484,         58052,           57577,             81,      5985,        1378,         40,     116886,        57577,         239,     7152,       3896,        34
   485,         58235,           57759,             79,      5982,        1376,         38,     117370,        57759,         234,     7162,       3920,        34
   486,         58659,           58182,             77,      6488,        1339,         37,     117855,        58182,         219,     7187,       3925,        34
   487,         59022,           58544,             78,      6776,        1352,         37,     118341,        58544,         224,     7176,       3913,        37
   488,         59135,           58656,            100,      6601,        1358,         49,     118828,        58656,         311,     7241,       3953,        45
   489,         59592,           59112,            111,      6303,        1350,         49,     119316,        59112,         375,     7256,       3965,        35
   490,         59753,           59272,             79,      5993,        1398,         39,     119805,        59272,         238,     7282,       3985,        38
   491,         59890,           59408,             82,      6307,        1379,         44,     120295,        59408,         285,     7298,       3971,        55
   492,         59937,           59454,             78,      6413,        1390,         39,     120786,        59454,         231,     7311,       3979,        35
   493,         60381,           59897,             80,      6038,        1389,         37,     121278,        59897,         231,     7332,       3992,        36
   494,         60853,           60368,             81,      7703,        1360,         78,     121771,        60368,         293,     7353,       4013,        56
   495,         61136,           60650,            111,      6359,        1413,         49,     122265,        60650,         280,     7345,       4003,        43
   496,         61191,           60704,            109,      6194,        1401,         47,     122760,        60704,         297,     7361,       4021,        47
   497,         61383,           60895,            142,      7155,        1393,         48,     123256,        60895,         281,     7374,       4026,        44
   498,         61847,           61358,            140,      6488,        1392,         49,     123753,        61358,         325,     7412,       4041,        45
   499,         62343,           61853,            141,      6484,        1413,         50,     124251,        61853,         267,     7428,       4050,        43
   500,         62517,           62026,            113,      6783,        1400,         49,     124750,        62026,         289,     7432,       4067,        42
   501,         62710,           62218,            113,      6754,        1402,         48,     125250,        62218,         283,     7453,       4073,        42
   502,         63092,           62599,            114,      7284,        1384,         50,     125751,        62599,         284,     7471,       4070,        40
   503,         63556,           63062,             87,      6755,        1410,         43,     126253,        63062,         369,     7483,       4087,        46
   504,         63577,           63082,            120,      6430,        1428,         49,     126756,        63082,         308,     7487,       4087,        48
   505,         63969,           63473,            121,      6480,        1414,         47,     127260,        63473,         293,     7521,       4094,        47
   506,         64266,           63769,            114,      6762,        1428,         52,     127765,        63769,         259,     7551,       4102,        50
   507,         64573,           64075,            116,      6751,        1444,         54,     128271,        64075,         300,     7564,       4124,        46
   508,         64961,           64462,            110,      6873,        1451,         51,     128778,        64462,         328,     7587,       4145,        44
   509,         65146,           64646,            121,      6761,        1424,         53,     129286,        64646,         326,     7587,       4139,        46
   510,         65392,           64891,            123,      6997,        1444,         54,     129795,        64891,         323,     7619,       4148,        48
   511,         65883,           65381,            124,      6696,        1443,         54,     130305,        65381,         329,     7629,       4168,        48
   512,         65997,           65494,            122,      7334,        1432,         53,     130816,        65494,         315,     7660,       4175,        46
   513,         66155,           65651,            125,      6811,        1467,         52,     131328,        65651,         316,     7673,       4172,        48
   514,         66451,           65946,            119,      6698,        1465,         42,     131841,        65946,         255,     7687,       4187,        37
   515,         66586,           66080,             91,      6578,        1477,         46,     132355,        66080,         263,     7698,       4205,        37
   516,         67070,           66563,             87,      6751,        1466,         39,     132870,        66563,         260,     7710,       4196,        47
   517,         67549,           67041,            120,      6741,        1482,         52,     133386,        67041,         345,     7745,       4226,        50
   518,         67562,           67053,            122,      6896,        1474,         54,     133903,        67053,         327,     7767,       4234,        47
   519,         67961,           67451,            126,      6414,        1497,         52,     134421,        67451,         332,     7764,       4234,        49
   520,         68471,           67960,            129,      6424,        1491,         53,     134940,        67960,         353,     7796,       4247,        50
   521,         68696,           68184,            132,      6873,        1477,         54,     135460,        68184,         343,     7817,       4267,        47
   522,         68702,           68189,            126,      6825,        1488,         55,     135981,        68189,         422,     7837,       4270,        48
   523,         69149,           68635,            127,      7165,        1438,         52,     136503,        68635,         346,     7860,       4288,        49
   524,         69191,           68676,            143,      6641,        1473,         57,     137026,        68676,         408,     7882,       4287,        47
   525,         69634,           69118,            143,      7419,        1467,         42,     137550,        69118,         254,     7912,       4321,        48
   526,         70079,           69562,             96,      7086,        1482,         39,     138075,        69562,         342,     7906,       4325,        47
   527,         70356,           69838,            133,      6826,        1484,         40,     138601,        69838,         264,     7923,       4321,        38
   528,         70682,           70163,             92,      7172,        1469,         40,     139128,        70163,         261,     7955,       4338,        38
   529,         71163,           70643,             94,      6832,        1538,         42,     139656,        70643,         257,     7975,       4338,        38
   530,         71477,           70956,             98,      7299,        1483,         76,     140185,        70956,         262,     7975,       4339,        39
   531,         71678,           71156,             94,      6877,        1512,         40,     140715,        71156,         258,     7997,       4367,        37
   532,         72118,           71595,             94,      6750,        1524,         45,     141246,        71595,         267,     8047,       4382,        38
   533,         72371,           71847,             94,      6908,        1513,         40,     141778,        71847,         258,     8037,       4374,        38
